"Churn","SeniorCitizen","Dependents","tenure","MultipleLines","InternetService","PaperlessBilling","PaymentMethod","TotalCharges","Contrat_par_mois"
1,"Yes","No",1,"No","Fiber optic","Yes","Mailed check",70.45,"Yes"
0,"Yes","Yes",72,"Yes","DSL","Yes","Credit card (automatic)",6425.65,"No"
1,"No","No",8,"Yes","DSL","No","Electronic check",563.65,"Yes"
0,"No","No",61,"Yes","Fiber optic","Yes","Bank transfer (automatic)",5971.25,"No"
0,"No","No",64,"Yes","Fiber optic","Yes","Credit card (automatic)",5289.05,"No"
0,"No","Yes",65,"Yes","Fiber optic","Yes","Credit card (automatic)",6416.7,"No"
1,"No","No",1,"No","DSL","Yes","Electronic check",45.65,"Yes"
0,"No","Yes",30,"No","DSL","No","Credit card (automatic)",1929.95,"No"
0,"No","Yes",15,"No","DSL","Yes","Mailed check",1071.4,"Yes"
0,"No","Yes",8,"No","DSL","Yes","Electronic check",564.35,"Yes"
1,"No","No",7,"Yes","Fiber optic","No","Mailed check",655.5,"Yes"
0,"No","Yes",70,"Yes","Fiber optic","Yes","Credit card (automatic)",7930.55,"No"
0,"No","Yes",62,"No","DSL","No","Electronic check",5215.25,"No"
0,"No","Yes",14,"No","Fiber optic","Yes","Bank transfer (automatic)",1152.8,"Yes"
0,"No","No",22,"Yes","Fiber optic","Yes","Bank transfer (automatic)",1821.95,"Yes"
0,"No","Yes",16,"No","DSL","No","Mailed check",1024,"No"
0,"No","Yes",13,"No","DSL","Yes","Electronic check",764.55,"Yes"
1,"No","No",20,"Yes","Fiber optic","No","Electronic check",1592.35,"Yes"
0,"No","No",2,"No","Fiber optic","Yes","Electronic check",135.2,"Yes"
0,"No","No",53,"Yes","DSL","Yes","Bank transfer (automatic)",3958.25,"No"
1,"No","No",4,"No","Fiber optic","Yes","Bank transfer (automatic)",273,"Yes"
0,"No","No",72,"Yes","DSL","Yes","Bank transfer (automatic)",6254.45,"No"
1,"Yes","No",58,"No_phone_service","DSL","Yes","Electronic check",2651.2,"Yes"
0,"No","No",43,"No","Fiber optic","Yes","Bank transfer (automatic)",3539.25,"No"
1,"No","No",2,"Yes","Fiber optic","Yes","Electronic check",242.8,"Yes"
0,"No","No",14,"No","DSL","No","Mailed check",1181.75,"No"
1,"No","No",53,"No","Fiber optic","Yes","Bank transfer (automatic)",5000.2,"No"
1,"Yes","No",15,"Yes","Fiber optic","Yes","Mailed check",1145.7,"Yes"
1,"Yes","No",7,"No","Fiber optic","No","Bank transfer (automatic)",503.6,"Yes"
0,"No","Yes",15,"Yes","Fiber optic","Yes","Bank transfer (automatic)",1559.25,"Yes"
1,"No","No",1,"No_phone_service","DSL","No","Bank transfer (automatic)",29.95,"Yes"
0,"No","No",1,"No","DSL","No","Mailed check",45.3,"Yes"
1,"No","No",8,"Yes","Fiber optic","No","Bank transfer (automatic)",662.65,"Yes"
0,"No","Yes",33,"No","DSL","No","Credit card (automatic)",2453.3,"No"
1,"No","No",13,"No","Fiber optic","Yes","Electronic check",1111.65,"Yes"
1,"No","No",1,"No_phone_service","DSL","Yes","Electronic check",24.8,"Yes"
0,"No","No",20,"No","DSL","Yes","Mailed check",1023.85,"Yes"
0,"No","No",3,"No_phone_service","DSL","No","Electronic check",82.15,"Yes"
0,"No","No",40,"Yes","DSL","No","Credit card (automatic)",2379.1,"Yes"
0,"No","Yes",43,"Yes","DSL","Yes","Credit card (automatic)",3173.35,"No"
1,"No","No",6,"No","Fiber optic","Yes","Electronic check",531,"Yes"
0,"No","Yes",72,"Yes","Fiber optic","No","Credit card (automatic)",8129.3,"No"
0,"No","No",20,"No","Fiber optic","Yes","Electronic check",1901.65,"Yes"
0,"No","No",59,"Yes","Fiber optic","Yes","Electronic check",6519.75,"Yes"
0,"No","Yes",72,"Yes","Fiber optic","Yes","Bank transfer (automatic)",8041.65,"No"
0,"No","No",27,"No","Fiber optic","Yes","Credit card (automatic)",2681.15,"No"
0,"No","No",14,"No","Fiber optic","Yes","Credit card (automatic)",1112.3,"Yes"
0,"No","Yes",71,"Yes","Fiber optic","No","Electronic check",7405.5,"No"
0,"No","Yes",13,"No","Fiber optic","Yes","Credit card (automatic)",1033.95,"Yes"
0,"No","No",44,"No","Fiber optic","No","Credit card (automatic)",2958.95,"Yes"
0,"No","No",33,"No","Fiber optic","Yes","Bank transfer (automatic)",2684.85,"No"
0,"No","Yes",72,"No_phone_service","DSL","Yes","Credit card (automatic)",4179.2,"No"
1,"No","No",1,"No","Fiber optic","No","Electronic check",79.9,"Yes"
1,"No","No",19,"No","Fiber optic","Yes","Electronic check",1934.45,"Yes"
0,"No","No",64,"No","Fiber optic","Yes","Credit card (automatic)",6654.1,"No"
1,"No","No",2,"No","DSL","Yes","Credit card (automatic)",84.5,"Yes"
0,"No","No",1,"No_phone_service","DSL","No","Electronic check",25.25,"Yes"
0,"Yes","No",23,"Yes","Fiber optic","No","Electronic check",1975.85,"Yes"
0,"No","No",57,"No_phone_service","DSL","Yes","Bank transfer (automatic)",3437.45,"Yes"
0,"No","Yes",72,"No_phone_service","DSL","No","Credit card (automatic)",3139.8,"No"
0,"No","No",66,"No_phone_service","DSL","Yes","Bank transfer (automatic)",3789.2,"No"
0,"No","Yes",65,"Yes","DSL","Yes","Bank transfer (automatic)",5324.5,"No"
0,"No","No",8,"No","Fiber optic","Yes","Bank transfer (automatic)",624.6,"Yes"
1,"No","No",4,"No","Fiber optic","Yes","Electronic check",268.35,"Yes"
1,"No","No",4,"No","DSL","No","Mailed check",179.35,"Yes"
0,"No","No",24,"No_phone_service","DSL","Yes","Mailed check",1288.75,"No"
0,"No","Yes",31,"No","DSL","Yes","Mailed check",2545.75,"No"
1,"No","No",1,"No","DSL","No","Mailed check",55.2,"Yes"
0,"No","No",30,"Yes","Fiber optic","Yes","Credit card (automatic)",2723.15,"Yes"
0,"No","Yes",47,"Yes","DSL","Yes","Credit card (automatic)",4107.25,"No"
0,"No","No",54,"Yes","Fiber optic","Yes","Credit card (automatic)",5760.65,"No"
0,"No","No",50,"No","Fiber optic","Yes","Credit card (automatic)",4747.5,"Yes"
1,"No","No",1,"No","Fiber optic","Yes","Mailed check",84.6,"Yes"
1,"No","No",2,"Yes","DSL","Yes","Mailed check",114.1,"Yes"
0,"No","No",10,"No_phone_service","DSL","Yes","Mailed check",299.05,"No"
0,"No","No",18,"Yes","Fiber optic","Yes","Electronic check",1305.95,"Yes"
1,"Yes","No",11,"No","Fiber optic","Yes","Electronic check",1120.3,"Yes"
0,"No","No",72,"Yes","DSL","No","Bank transfer (automatic)",6350.5,"No"
0,"No","No",72,"Yes","Fiber optic","No","Bank transfer (automatic)",7878.3,"No"
0,"No","Yes",41,"No","DSL","Yes","Credit card (automatic)",3187.65,"No"
0,"Yes","No",65,"No","Fiber optic","No","Electronic check",6126.15,"Yes"
0,"Yes","No",13,"No","DSL","Yes","Electronic check",731.3,"Yes"
0,"Yes","No",4,"No","Fiber optic","No","Electronic check",273.4,"Yes"
0,"No","No",41,"Yes","DSL","No","Mailed check",2531.8,"No"
1,"Yes","No",15,"No","Fiber optic","Yes","Electronic check",1074.3,"Yes"
1,"No","No",1,"No","DSL","Yes","Mailed check",48.55,"Yes"
0,"No","No",42,"Yes","Fiber optic","Yes","Electronic check",4298.45,"No"
0,"No","No",51,"No","Fiber optic","Yes","Electronic check",4619.55,"No"
1,"No","Yes",2,"No","Fiber optic","No","Electronic check",147.15,"Yes"
1,"Yes","No",1,"No_phone_service","DSL","No","Electronic check",40.2,"Yes"
0,"No","Yes",32,"Yes","DSL","No","Credit card (automatic)",2633.3,"No"
0,"No","Yes",67,"No_phone_service","DSL","Yes","Electronic check",4103.9,"No"
0,"No","Yes",61,"Yes","Fiber optic","No","Credit card (automatic)",7008.15,"No"
0,"No","No",50,"Yes","Fiber optic","No","Credit card (automatic)",5791.1,"No"
1,"No","No",2,"No","DSL","Yes","Credit card (automatic)",80.55,"Yes"
0,"Yes","No",29,"No_phone_service","DSL","Yes","Electronic check",1228.65,"Yes"
1,"Yes","No",3,"No_phone_service","DSL","Yes","Electronic check",132.2,"Yes"
1,"Yes","No",13,"Yes","Fiber optic","Yes","Electronic check",1364.3,"Yes"
0,"Yes","No",57,"Yes","Fiber optic","Yes","Electronic check",4925.35,"Yes"
0,"No","No",31,"No_phone_service","DSL","Yes","Bank transfer (automatic)",1520.1,"No"
0,"No","No",45,"Yes","Fiber optic","No","Mailed check",5032.25,"No"
0,"No","Yes",61,"Yes","DSL","No","Mailed check",5526.75,"No"
0,"Yes","No",19,"No","Fiber optic","Yes","Mailed check",2007.25,"Yes"
1,"Yes","No",16,"No","Fiber optic","Yes","Electronic check",1511.2,"Yes"
0,"No","No",57,"No","DSL","Yes","Electronic check",3450.15,"No"
1,"No","No",1,"No_phone_service","DSL","No","Bank transfer (automatic)",24.8,"Yes"
0,"Yes","No",20,"Yes","Fiber optic","No","Electronic check",2172.05,"Yes"
1,"No","No",1,"No","Fiber optic","No","Mailed check",70.6,"Yes"
1,"No","No",5,"Yes","Fiber optic","Yes","Electronic check",401.1,"Yes"
1,"No","No",52,"Yes","Fiber optic","Yes","Electronic check",5624.85,"Yes"
0,"Yes","No",21,"No","DSL","Yes","Bank transfer (automatic)",1339.8,"Yes"
0,"No","No",14,"No_phone_service","DSL","Yes","Electronic check",771.95,"Yes"
0,"No","No",5,"No","DSL","No","Bank transfer (automatic)",244.75,"Yes"
0,"No","No",6,"No","DSL","No","Mailed check",322.9,"Yes"
0,"No","No",10,"No","DSL","No","Electronic check",498.25,"Yes"
0,"No","No",68,"Yes","DSL","No","Mailed check",3687.75,"Yes"
1,"No","Yes",18,"No","Fiber optic","No","Mailed check",1779.95,"Yes"
0,"No","No",22,"Yes","Fiber optic","Yes","Credit card (automatic)",1783.6,"No"
0,"No","No",20,"No","DSL","Yes","Electronic check",927.15,"Yes"
1,"No","No",1,"No","Fiber optic","No","Electronic check",70,"Yes"
1,"Yes","No",8,"No","Fiber optic","Yes","Electronic check",606.55,"Yes"
1,"No","No",10,"No","DSL","Yes","Credit card (automatic)",435.4,"Yes"
1,"Yes","No",24,"Yes","Fiber optic","Yes","Electronic check",1712.7,"Yes"
0,"No","No",35,"No","DSL","No","Mailed check",2021.2,"No"
0,"No","Yes",23,"No","Fiber optic","No","Mailed check",1940.8,"No"
0,"Yes","No",6,"No","Fiber optic","Yes","Electronic check",567.8,"Yes"
0,"No","Yes",71,"No","Fiber optic","No","Electronic check",5436.45,"No"
0,"Yes","No",35,"Yes","Fiber optic","Yes","Electronic check",3437.5,"Yes"
0,"No","Yes",40,"Yes","DSL","Yes","Electronic check",3015.75,"Yes"
1,"No","Yes",1,"No","Fiber optic","Yes","Mailed check",73.6,"Yes"
0,"No","No",23,"No","DSL","Yes","Bank transfer (automatic)",1509.8,"No"
1,"Yes","No",4,"Yes","Fiber optic","Yes","Electronic check",396.1,"Yes"
0,"No","No",4,"No","Fiber optic","Yes","Electronic check",356.65,"Yes"
0,"No","Yes",68,"No_phone_service","DSL","No","Credit card (automatic)",4109,"No"
0,"No","Yes",38,"Yes","Fiber optic","Yes","Mailed check",3141.7,"Yes"
1,"Yes","No",32,"Yes","Fiber optic","Yes","Electronic check",2303.35,"Yes"
0,"No","Yes",29,"No","DSL","No","Mailed check",2054.4,"No"
0,"Yes","Yes",38,"Yes","Fiber optic","No","Electronic check",3741.85,"Yes"
0,"No","Yes",48,"Yes","DSL","Yes","Credit card (automatic)",3682.45,"No"
0,"No","No",22,"No","Fiber optic","Yes","Electronic check",1886.25,"Yes"
0,"No","No",43,"Yes","Fiber optic","No","Credit card (automatic)",4895.1,"No"
0,"Yes","No",5,"No","Fiber optic","Yes","Electronic check",341.6,"Yes"
1,"No","No",5,"No","Fiber optic","Yes","Electronic check",415.55,"Yes"
0,"No","Yes",51,"Yes","Fiber optic","No","Credit card (automatic)",5686.4,"No"
1,"No","Yes",38,"No","DSL","No","Credit card (automatic)",3058.65,"No"
1,"Yes","No",24,"No","Fiber optic","Yes","Electronic check",2231.05,"Yes"
0,"No","No",35,"Yes","Fiber optic","Yes","Credit card (automatic)",3236.35,"Yes"
1,"Yes","No",54,"Yes","DSL","No","Bank transfer (automatic)",4350.1,"No"
0,"No","Yes",72,"No_phone_service","DSL","Yes","Electronic check",4264,"No"
0,"No","No",1,"No","DSL","Yes","Electronic check",44.8,"Yes"
0,"No","Yes",9,"No","DSL","No","Mailed check",422.3,"No"
0,"No","No",69,"No_phone_service","DSL","Yes","Bank transfer (automatic)",4176.7,"No"
0,"No","No",52,"Yes","Fiber optic","Yes","Credit card (automatic)",5138.1,"Yes"
0,"Yes","No",11,"No","Fiber optic","Yes","Electronic check",880.05,"Yes"
1,"Yes","No",2,"No","Fiber optic","Yes","Electronic check",139.05,"Yes"
0,"Yes","Yes",28,"No_phone_service","DSL","Yes","Electronic check",973.65,"Yes"
0,"Yes","No",17,"Yes","Fiber optic","Yes","Credit card (automatic)",1470.05,"Yes"
0,"No","No",46,"Yes","Fiber optic","Yes","Credit card (automatic)",4422.95,"No"
1,"No","No",7,"Yes","Fiber optic","Yes","Electronic check",511.25,"Yes"
1,"No","No",2,"Yes","Fiber optic","No","Mailed check",155.8,"Yes"
1,"No","Yes",68,"Yes","DSL","Yes","Bank transfer (automatic)",5293.95,"No"
1,"No","No",43,"Yes","Fiber optic","Yes","Electronic check",4759.85,"No"
0,"No","No",68,"Yes","DSL","Yes","Electronic check",6148.45,"No"
0,"No","No",36,"No","Fiber optic","Yes","Credit card (automatic)",3565.65,"Yes"
1,"No","No",63,"Yes","Fiber optic","Yes","Electronic check",6603,"Yes"
0,"Yes","No",32,"No","DSL","No","Bank transfer (automatic)",1830.1,"Yes"
0,"No","No",71,"Yes","DSL","No","Credit card (automatic)",6223.8,"No"
0,"No","Yes",66,"Yes","DSL","Yes","Bank transfer (automatic)",4508.65,"Yes"
0,"Yes","No",1,"Yes","Fiber optic","Yes","Electronic check",72.1,"Yes"
1,"No","No",2,"No","Fiber optic","Yes","Electronic check",168.2,"Yes"
0,"No","No",23,"No_phone_service","DSL","Yes","Electronic check",996.85,"Yes"
0,"Yes","No",64,"No","Fiber optic","No","Bank transfer (automatic)",6430.9,"No"
0,"No","Yes",37,"Yes","DSL","Yes","Credit card (automatic)",2278.75,"No"
0,"No","Yes",17,"No","DSL","No","Mailed check",681.4,"No"
0,"Yes","No",7,"No","Fiber optic","Yes","Electronic check",574.35,"Yes"
1,"No","Yes",4,"Yes","Fiber optic","Yes","Bank transfer (automatic)",371.9,"Yes"
1,"Yes","No",21,"No_phone_service","DSL","Yes","Electronic check",840.1,"Yes"
1,"No","No",10,"No","Fiber optic","Yes","Bank transfer (automatic)",846,"Yes"
0,"Yes","No",16,"Yes","DSL","Yes","Electronic check",889,"Yes"
0,"No","No",64,"Yes","Fiber optic","Yes","Electronic check",6823.4,"No"
1,"Yes","No",27,"No_phone_service","DSL","No","Credit card (automatic)",805.1,"Yes"
0,"No","Yes",42,"Yes","Fiber optic","No","Electronic check",4016.75,"No"
0,"No","No",41,"No","Fiber optic","Yes","Bank transfer (automatic)",3959.15,"No"
0,"No","No",58,"No","DSL","No","Credit card (automatic)",2878.55,"No"
0,"No","No",18,"No","Fiber optic","Yes","Bank transfer (automatic)",1373.05,"Yes"
1,"No","No",5,"No","Fiber optic","No","Bank transfer (automatic)",492.55,"Yes"
0,"No","No",23,"No","DSL","Yes","Bank transfer (automatic)",1406,"Yes"
0,"No","No",71,"Yes","Fiber optic","Yes","Credit card (automatic)",6962.85,"No"
0,"No","Yes",72,"Yes","Fiber optic","Yes","Credit card (automatic)",8126.65,"No"
1,"No","No",2,"Yes","Fiber optic","Yes","Electronic check",181.5,"Yes"
0,"No","Yes",24,"No_phone_service","DSL","No","Mailed check",830.8,"No"
0,"No","Yes",56,"Yes","Fiber optic","Yes","Credit card (automatic)",5608.4,"No"
0,"No","No",37,"No","Fiber optic","Yes","Credit card (automatic)",3646.8,"Yes"
0,"No","No",43,"Yes","DSL","No","Credit card (automatic)",3662.25,"No"
0,"No","No",1,"No_phone_service","DSL","No","Mailed check",25.35,"Yes"
1,"No","No",25,"Yes","Fiber optic","Yes","Bank transfer (automatic)",2566.5,"Yes"
0,"No","No",61,"Yes","DSL","No","Electronic check",5308.7,"No"
0,"No","No",17,"Yes","Fiber optic","No","Electronic check",1410.25,"No"
0,"No","No",41,"No","Fiber optic","Yes","Bank transfer (automatic)",3339.05,"No"
1,"No","No",1,"No","DSL","No","Mailed check",50.65,"Yes"
0,"Yes","Yes",72,"No_phone_service","DSL","Yes","Bank transfer (automatic)",4732.35,"No"
1,"No","No",1,"Yes","Fiber optic","Yes","Credit card (automatic)",90.85,"Yes"
0,"No","No",48,"Yes","Fiber optic","Yes","Bank transfer (automatic)",5067.45,"No"
1,"Yes","No",55,"Yes","Fiber optic","Yes","Electronic check",4874.7,"Yes"
0,"No","No",42,"No_phone_service","DSL","Yes","Electronic check",2348.45,"No"
0,"No","No",44,"Yes","Fiber optic","Yes","Mailed check",4063,"Yes"
0,"No","Yes",1,"No","DSL","No","Electronic check",44,"Yes"
0,"No","No",27,"Yes","Fiber optic","Yes","Bank transfer (automatic)",2595.25,"Yes"
0,"Yes","No",27,"Yes","DSL","Yes","Bank transfer (automatic)",2309.55,"Yes"
0,"Yes","No",2,"No","DSL","Yes","Electronic check",89.3,"Yes"
0,"Yes","No",42,"Yes","Fiber optic","Yes","Electronic check",3944.5,"Yes"
0,"No","No",66,"Yes","DSL","Yes","Credit card (automatic)",5965.95,"No"
0,"Yes","No",33,"Yes","Fiber optic","Yes","Bank transfer (automatic)",3694.7,"Yes"
1,"No","No",34,"No","Fiber optic","Yes","Credit card (automatic)",2524.45,"Yes"
0,"Yes","No",33,"No_phone_service","DSL","Yes","Electronic check",1803.7,"Yes"
1,"No","Yes",69,"Yes","Fiber optic","Yes","Credit card (automatic)",7007.6,"Yes"
0,"No","No",68,"No","DSL","No","Bank transfer (automatic)",3848.8,"No"
0,"No","Yes",60,"Yes","Fiber optic","Yes","Bank transfer (automatic)",5812,"No"
0,"Yes","Yes",32,"No","Fiber optic","Yes","Mailed check",2861.45,"Yes"
1,"Yes","No",3,"Yes","Fiber optic","Yes","Electronic check",233.7,"Yes"
0,"No","No",29,"Yes","Fiber optic","Yes","Electronic check",2149.05,"Yes"
